n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
16,41,True,True,1.1102230246251565e-16,1.6653345369377348e-16,0.0,0.0,0.36075309987995136,1.1102230246251565e-16
16,42,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.39944210590426643,1.1102230246251565e-16
16,43,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5656357705982599,1.1102230246251565e-16
16,44,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3348371182789779,1.1102230246251565e-16
16,45,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3387748373724892,1.1102230246251565e-16
16,46,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3295966477715825,1.1102230246251565e-16
16,47,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.20868784416520342,1.1102230246251565e-16
16,48,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2699198510146215,1.1102230246251565e-16
16,49,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.29134832692283147,1.1102230246251565e-16
16,50,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3326806392966153,1.1102230246251565e-16
16,51,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.2812285797370925,1.1102230246251565e-16
16,52,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.381338901049771,1.1102230246251565e-16
16,53,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2766866822380014,1.1102230246251565e-16
16,54,True,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.39814684924964716,5.551115123125783e-17
16,55,True,True,5.551115123125783e-17,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.2043360260669143,1.1102230246251565e-16
16,56,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3934861756384731,1.1102230246251565e-16
16,57,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.47254294197707014,2.220446049250313e-16
16,58,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.411701896968208,2.220446049250313e-16
