n,sample_index,contrast_rmse,comparisons
16,75,0.011343281827628927,41
16,76,0.01255770669192285,35
16,77,0.014393229525137361,44
16,78,0.013776710826210082,36
16,79,0.013787036795198875,40
32,0,0.015175955629315703,131
32,1,0.017312711672100096,128
32,2,0.01727661826099463,157
32,3,0.016039941285536208,143
32,4,0.017028108045489158,130
32,5,0.016514810666278315,133
32,6,0.01459263364241386,146
32,7,0.014190379116739623,122
32,8,0.01733892956320457,157
32,9,0.017794014124289666,145
32,10,0.015519462934249273,135
32,11,0.015495358263441424,134
32,12,0.014753753796423774,140
32,13,0.014475885432053897,146
32,14,0.017584836261749,144
32,15,0.016180069024527857,142
32,16,0.015959938237425333,139
32,17,0.01548837444786527,155
32,18,0.016174858289636624,139
32,19,0.016816768057440454,153
32,20,0.01813462498951855,145
32,21,0.01524941551213916,131
32,22,0.016272729567592133,154
32,23,0.014592233733963279,152
32,24,0.014206618938630636,128
32,25,0.015164486155182916,136
32,26,0.01605765714338791,145
32,27,0.015039079306387815,139
32,28,0.015595620562591447,148
32,29,0.01647463683512131,143
32,30,0.014694142642428855,133
32,31,0.015848994135725086,137
32,32,0.016703229524988445,152
32,33,0.013303647578562604,148
32,34,0.016875408939123846,148
32,35,0.01489294641896877,136
32,36,0.014047571178864926,135
32,37,0.015722074727363738,138
32,38,0.015143074019623066,138
32,39,0.014470940417126441,143
32,40,0.01371277295016005,139
32,41,0.01781468557559918,141
32,42,0.01613997010809304,159
32,43,0.01675850734619222,139
32,44,0.015312283407888063,155
32,45,0.01690073018227153,143
32,46,0.01688285240095613,137
32,47,0.013500543681387017,138
32,48,0.014945256363097353,143
32,49,0.018115175934711743,137
32,50,0.01356524837656067,131
32,51,0.016073225346699305,167
32,52,0.014636157199673013,154
32,53,0.015461581000744061,151
32,54,0.013714694327964596,141
32,55,0.013774214058697495,140
32,56,0.01273203942228829,140
32,57,0.014102686714086477,128
32,58,0.01704119737638128,142
32,59,0.01550377871141476,166
32,60,0.01714883573113306,137
32,61,0.018389730578142943,168
32,62,0.014597520352223859,162
32,63,0.01678631851950707,127
32,64,0.01412569004206043,140
32,65,0.01669909453252042,151
32,66,0.013691206299148946,130
32,67,0.01752113413166061,130
32,68,0.016391843212324415,145
32,69,0.015562486347787927,133
32,70,0.01397685369404463,129
32,71,0.015474568087088861,148
32,72,0.016380304834571962,147
32,73,0.01475656405751175,147
32,74,0.01889181244349838,168
32,75,0.013732477058549318,153
32,76,0.015244473586470731,147
32,77,0.015150093920271895,131
32,78,0.017156719235427192,148
32,79,0.01319516775356769,142
64,0,0.020197451843135008,576
64,1,0.019619997033759367,534
64,2,0.019780287301074055,508
64,3,0.020253584270279307,521
64,4,0.01754591534344191,478
64,5,0.02133394125842205,511
64,6,0.02063388227090445,540
64,7,0.020699520633715482,538
64,8,0.019676698369870602,513
64,9,0.02151494300917483,556
64,10,0.021151349264829828,576
64,11,0.018730046739253686,567
64,12,0.020714873050312565,523
64,13,0.020815572667779565,565
64,14,0.02079750172938523,531
64,15,0.01908291655757675,540
64,16,0.020061831537500106,507
64,17,0.018540357744246887,499
64,18,0.019433445215241017,527
64,19,0.021197023655346526,552
64,20,0.019432589020056307,514
64,21,0.01905918897231222,546
64,22,0.021766192826858623,551
64,23,0.020514944238291106,538
64,24,0.020773288400339308,543
64,25,0.02060950339961447,555
64,26,0.020489492577687556,520
64,27,0.019110717847357832,569
64,28,0.019120150702070578,537
64,29,0.020102769294426934,562
64,30,0.01935367629263949,497
64,31,0.01932228399154136,540
64,32,0.021033853741196415,521
64,33,0.019918999417574947,504
64,34,0.019415748346288533,512
64,35,0.020540515241227793,518
64,36,0.02008821816737305,543
64,37,0.017649561241722213,512
64,38,0.020499072054291148,541
64,39,0.01975171376191594,518
64,40,0.01907391390272395,543
64,41,0.02050387900035258,538
64,42,0.019863437398608023,525
