sample_index,score,maximum_probability_error
68,raw,0.0
68,min_shift,0.0
68,row_zscore,0.0
68,row_mad,5.551115123125783e-17
68,row_rank,0.0
68,global_zscore,0.0
69,raw,5.551115123125783e-17
69,min_shift,5.551115123125783e-17
69,row_zscore,1.1102230246251565e-16
69,row_mad,2.220446049250313e-16
69,row_rank,5.551115123125783e-17
69,global_zscore,5.551115123125783e-17
70,raw,1.1102230246251565e-16
70,min_shift,1.1102230246251565e-16
70,row_zscore,2.7755575615628914e-17
70,row_mad,0.0
70,row_rank,0.0
70,global_zscore,0.0
71,raw,0.0
71,min_shift,0.0
71,row_zscore,0.0
71,row_mad,0.0
71,row_rank,0.0
71,global_zscore,0.0
72,raw,5.551115123125783e-17
72,min_shift,5.551115123125783e-17
72,row_zscore,5.551115123125783e-17
72,row_mad,5.551115123125783e-17
72,row_rank,2.7755575615628914e-17
72,global_zscore,0.0
73,raw,1.1102230246251565e-16
73,min_shift,1.1102230246251565e-16
73,row_zscore,1.1102230246251565e-16
73,row_mad,1.1102230246251565e-16
73,row_rank,0.0
73,global_zscore,0.0
74,raw,2.7755575615628914e-17
74,min_shift,2.7755575615628914e-17
74,row_zscore,1.1102230246251565e-16
74,row_mad,2.220446049250313e-16
74,row_rank,0.0
74,global_zscore,5.551115123125783e-17
75,raw,5.551115123125783e-17
75,min_shift,5.551115123125783e-17
75,row_zscore,0.0
75,row_mad,1.1102230246251565e-16
75,row_rank,0.0
75,global_zscore,0.0
76,raw,5.551115123125783e-17
76,min_shift,5.551115123125783e-17
76,row_zscore,0.0
76,row_mad,0.0
76,row_rank,0.0
76,global_zscore,0.0
77,raw,0.0
77,min_shift,0.0
77,row_zscore,1.1102230246251565e-16
77,row_mad,0.0
77,row_rank,0.0
77,global_zscore,1.3877787807814457e-17
78,raw,0.0
78,min_shift,0.0
78,row_zscore,5.551115123125783e-17
78,row_mad,0.0
78,row_rank,5.551115123125783e-17
78,global_zscore,0.0
79,raw,5.551115123125783e-17
79,min_shift,5.551115123125783e-17
79,row_zscore,5.551115123125783e-17
79,row_mad,0.0
79,row_rank,5.551115123125783e-17
79,global_zscore,0.0
80,raw,0.0
80,min_shift,0.0
80,row_zscore,1.1102230246251565e-16
80,row_mad,0.0
80,row_rank,2.7755575615628914e-17
80,global_zscore,0.0
81,raw,0.0
81,min_shift,0.0
81,row_zscore,5.551115123125783e-17
81,row_mad,0.0
81,row_rank,2.7755575615628914e-17
81,global_zscore,0.0
82,raw,5.551115123125783e-17
82,min_shift,5.551115123125783e-17
82,row_zscore,0.0
82,row_mad,0.0
82,row_rank,0.0
82,global_zscore,0.0
83,raw,0.0
83,min_shift,0.0
83,row_zscore,1.3877787807814457e-17
83,row_mad,2.220446049250313e-16
83,row_rank,0.0
83,global_zscore,0.0
84,raw,5.551115123125783e-17
84,min_shift,5.551115123125783e-17
84,row_zscore,5.551115123125783e-17
84,row_mad,0.0
84,row_rank,0.0
84,global_zscore,0.0
85,raw,5.551115123125783e-17
85,min_shift,5.551115123125783e-17
85,row_zscore,1.1102230246251565e-16
85,row_mad,1.1102230246251565e-16
85,row_rank,5.551115123125783e-17
85,global_zscore,2.7755575615628914e-17
86,raw,0.0
86,min_shift,0.0
86,row_zscore,5.551115123125783e-17
86,row_mad,0.0
86,row_rank,8.326672684688674e-17
86,global_zscore,5.551115123125783e-17
87,raw,0.0
87,min_shift,0.0
87,row_zscore,5.551115123125783e-17
87,row_mad,0.0
87,row_rank,0.0
87,global_zscore,0.0
88,raw,0.0
88,min_shift,0.0
88,row_zscore,5.551115123125783e-17
88,row_mad,1.1102230246251565e-16
88,row_rank,2.7755575615628914e-17
88,global_zscore,2.7755575615628914e-17
89,raw,0.0
89,min_shift,0.0
89,row_zscore,5.551115123125783e-17
89,row_mad,5.551115123125783e-17
89,row_rank,2.7755575615628914e-17
89,global_zscore,0.0
90,raw,1.1102230246251565e-16
90,min_shift,1.1102230246251565e-16
90,row_zscore,0.0
90,row_mad,0.0
90,row_rank,0.0
90,global_zscore,1.1102230246251565e-16
91,raw,2.7755575615628914e-17
91,min_shift,2.7755575615628914e-17
91,row_zscore,5.551115123125783e-17
91,row_mad,5.551115123125783e-17
91,row_rank,0.0
91,global_zscore,0.0
92,raw,0.0
92,min_shift,0.0
92,row_zscore,1.1102230246251565e-16
92,row_mad,0.0
92,row_rank,0.0
92,global_zscore,0.0
93,raw,0.0
93,min_shift,0.0
93,row_zscore,5.551115123125783e-17
93,row_mad,2.220446049250313e-16
93,row_rank,0.0
93,global_zscore,0.0
94,raw,5.551115123125783e-17
94,min_shift,5.551115123125783e-17
94,row_zscore,1.3877787807814457e-17
94,row_mad,0.0
94,row_rank,2.7755575615628914e-17
94,global_zscore,0.0
95,raw,0.0
95,min_shift,0.0
95,row_zscore,2.7755575615628914e-17
95,row_mad,1.1102230246251565e-16
95,row_rank,0.0
95,global_zscore,5.551115123125783e-17
96,raw,0.0
96,min_shift,0.0
96,row_zscore,0.0
96,row_mad,0.0
96,row_rank,0.0
96,global_zscore,0.0
97,raw,5.551115123125783e-17
97,min_shift,5.551115123125783e-17
97,row_zscore,5.551115123125783e-17
97,row_mad,0.0
97,row_rank,0.0
97,global_zscore,0.0
98,raw,0.0
98,min_shift,0.0
98,row_zscore,8.326672684688674e-17
98,row_mad,1.1102230246251565e-16
98,row_rank,0.0
98,global_zscore,0.0
99,raw,0.0
99,min_shift,0.0
99,row_zscore,0.0
99,row_mad,0.0
99,row_rank,0.0
99,global_zscore,0.0
100,raw,0.0
100,min_shift,0.0
100,row_zscore,2.7755575615628914e-17
100,row_mad,1.1102230246251565e-16
100,row_rank,0.0
100,global_zscore,1.1102230246251565e-16
101,raw,5.551115123125783e-17
101,min_shift,5.551115123125783e-17
101,row_zscore,5.551115123125783e-17
101,row_mad,5.551115123125783e-17
101,row_rank,0.0
101,global_zscore,5.551115123125783e-17
102,raw,0.0
102,min_shift,0.0
102,row_zscore,0.0
102,row_mad,0.0
102,row_rank,0.0
102,global_zscore,0.0
103,raw,0.0
103,min_shift,0.0
103,row_zscore,5.551115123125783e-17
103,row_mad,0.0
103,row_rank,5.551115123125783e-17
103,global_zscore,0.0
104,raw,0.0
104,min_shift,0.0
104,row_zscore,1.1102230246251565e-16
104,row_mad,0.0
104,row_rank,2.7755575615628914e-17
104,global_zscore,0.0
105,raw,5.551115123125783e-17
105,min_shift,5.551115123125783e-17
105,row_zscore,5.551115123125783e-17
105,row_mad,0.0
105,row_rank,2.7755575615628914e-17
105,global_zscore,5.551115123125783e-17
106,raw,1.1102230246251565e-16
106,min_shift,1.1102230246251565e-16
