sample_index,score,absolute_log_odds_change,violated_extension_stability
39,row_zscore,0.1407114037589634,True
39,row_mad,0.14676968158307702,True
39,row_rank,0.08333333333333315,True
39,global_zscore,0.2983073818626809,True
40,raw,0.0,False
40,min_shift,0.0,False
40,row_zscore,0.12165858078440572,True
40,row_mad,0.21388053589843448,True
40,row_rank,0.05000000000000007,True
40,global_zscore,0.0003153164992353852,True
41,raw,1.6653345369377348e-16,False
41,min_shift,1.6653345369377348e-16,False
41,row_zscore,0.02094208683441051,True
41,row_mad,0.11063198137296826,True
41,row_rank,0.06666666666666671,True
41,global_zscore,0.007942309673940745,True
42,raw,0.0,False
42,min_shift,0.0,False
42,row_zscore,0.2076934300049207,True
42,row_mad,0.27206532992691634,True
42,row_rank,0.1904761904761904,True
42,global_zscore,0.05447513021688988,True
43,raw,0.0,False
43,min_shift,0.0,False
43,row_zscore,0.3653243904081398,True
43,row_mad,1.8610210649356862,True
43,row_rank,0.1071428571428571,True
43,global_zscore,0.06981808241989462,True
44,raw,0.0,False
44,min_shift,0.0,False
44,row_zscore,0.035538523715229586,True
44,row_mad,0.15228418339048036,True
44,row_rank,0.057142857142856746,True
44,global_zscore,0.02176638108378126,True
45,raw,2.1510571102112408e-16,False
45,min_shift,2.1510571102112408e-16,False
45,row_zscore,0.03663947633780651,True
45,row_mad,0.04651276705198531,True
45,row_rank,0.10714285714285712,True
45,global_zscore,0.007158289835673435,True
46,raw,4.440892098500626e-16,False
46,min_shift,4.440892098500626e-16,False
46,row_zscore,0.6796494143617565,True
46,row_mad,1.7446901924148799,True
46,row_rank,0.13636363636363646,True
46,global_zscore,0.35719747470949104,True
47,raw,0.0,False
47,min_shift,0.0,False
47,row_zscore,1.8551487977873977,True
47,row_mad,0.5919725638477598,True
47,row_rank,0.20000000000000018,True
47,global_zscore,0.4528082502793078,True
48,raw,0.0,False
48,min_shift,0.0,False
48,row_zscore,0.19625554901064768,True
48,row_mad,0.0,False
48,row_rank,0.0444444444444444,True
48,global_zscore,0.07504389603727812,True
49,raw,0.0,False
49,min_shift,0.0,False
49,row_zscore,0.17607410128229528,True
49,row_mad,0.1882553535143332,True
49,row_rank,0.11904761904761896,True
49,global_zscore,0.054687688704877946,True
50,raw,1.6653345369377348e-16,False
50,min_shift,1.6653345369377348e-16,False
50,row_zscore,0.02198816116746871,True
50,row_mad,0.31580919554896547,True
50,row_rank,0.10000000000000009,True
50,global_zscore,0.007088403767795404,True
51,raw,2.220446049250313e-16,False
51,min_shift,2.220446049250313e-16,False
51,row_zscore,1.2902039356631794,True
51,row_mad,4.52802751459113,True
51,row_rank,0.40000000000000013,True
51,global_zscore,0.12882378098241776,True
52,raw,0.0,False
52,min_shift,0.0,False
52,row_zscore,0.22021766452275182,True
52,row_mad,3.0694933281361974,True
52,row_rank,0.07142857142857129,True
52,global_zscore,0.03152229381688021,True
53,raw,0.0,False
53,min_shift,0.0,False
53,row_zscore,0.1389784858350671,True
53,row_mad,0.2962882786996226,True
53,row_rank,0.025974025974025983,True
53,global_zscore,0.0018164503843007829,True
54,raw,2.220446049250313e-16,False
54,min_shift,2.220446049250313e-16,False
54,row_zscore,0.09839560169289963,True
54,row_mad,0.34005206124305,True
54,row_rank,0.06666666666666654,True
54,global_zscore,0.004890989094283094,True
55,raw,0.0,False
55,min_shift,0.0,False
55,row_zscore,0.559539742303466,True
55,row_mad,0.2916674413170557,True
55,row_rank,0.0892857142857143,True
55,global_zscore,0.1894244506114391,True
56,raw,4.0245584642661925e-16,False
56,min_shift,4.0245584642661925e-16,False
56,row_zscore,0.06631700960502399,True
56,row_mad,0.3726153575662675,True
56,row_rank,0.08333333333333354,True
56,global_zscore,0.012069992913166294,True
57,raw,1.6653345369377348e-16,False
57,min_shift,1.6653345369377348e-16,False
57,row_zscore,0.12207081085879734,True
57,row_mad,0.0661812312406963,True
57,row_rank,0.014285714285714513,True
57,global_zscore,0.006948598118379334,True
58,raw,0.0,False
58,min_shift,0.0,False
58,row_zscore,0.7079882463568399,True
58,row_mad,6.923755617225782,True
58,row_rank,0.33333333333333337,True
58,global_zscore,0.4508918113545404,True
59,raw,1.6653345369377348e-16,False
59,min_shift,1.6653345369377348e-16,False
59,row_zscore,0.1453906490149353,True
59,row_mad,0.05322374650002182,True
59,row_rank,0.056818181818181934,True
59,global_zscore,0.015636832357760644,True
60,raw,4.440892098500626e-16,False
60,min_shift,4.440892098500626e-16,False
60,row_zscore,0.26407472912643126,True
60,row_mad,0.138606382792535,True
60,row_rank,1.1102230246251565e-16,False
60,global_zscore,0.22539989631782031,True
61,raw,0.0,False
61,min_shift,0.0,False
61,row_zscore,0.4649745920149241,True
61,row_mad,1.5573174836690336,True
