sample_index,score,scale,offset,probability_total_variation,maximum_probability_error
15,row_rank,1.0990872398959806,-1.2159578869735512,0.0,0.0
15,global_zscore,1.0990872398959806,-1.2159578869735512,6.765421556309548e-17,5.551115123125783e-17
16,raw,3.3108221883005657,-0.37923049081123406,0.38651622465454916,0.3865162246545491
16,min_shift,3.3108221883005657,-0.37923049081123406,0.38651622465454916,0.3865162246545491
16,row_zscore,3.3108221883005657,-0.37923049081123406,1.6132928326584306e-16,1.6653345369377348e-16
16,row_mad,3.3108221883005657,-0.37923049081123406,0.0,0.0
16,row_rank,3.3108221883005657,-0.37923049081123406,0.0,0.0
16,global_zscore,3.3108221883005657,-0.37923049081123406,4.85722573273506e-17,5.551115123125783e-17
17,raw,1.919430410011669,-1.4727534714886805,0.20071600712399248,0.16151601350067663
17,min_shift,1.919430410011669,-1.4727534714886805,0.20071600712399248,0.16151601350067663
17,row_zscore,1.919430410011669,-1.4727534714886805,1.2923689896027213e-16,5.551115123125783e-17
17,row_mad,1.919430410011669,-1.4727534714886805,1.2663481374630692e-16,1.1102230246251565e-16
17,row_rank,1.919430410011669,-1.4727534714886805,0.0,0.0
17,global_zscore,1.919430410011669,-1.4727534714886805,1.0495077029659683e-16,8.326672684688674e-17
18,raw,2.9967984084391843,1.4634374725708152,0.28919898864172827,0.28919898864172827
18,min_shift,2.9967984084391843,1.4634374725708152,0.28919898864172827,0.28919898864172827
18,row_zscore,2.9967984084391843,1.4634374725708152,1.3357370765021415e-16,1.1102230246251565e-16
18,row_mad,2.9967984084391843,1.4634374725708152,7.654467337747661e-17,5.551115123125783e-17
18,row_rank,2.9967984084391843,1.4634374725708152,0.0,0.0
18,global_zscore,2.9967984084391843,1.4634374725708152,1.1362438767648086e-16,1.1102230246251565e-16
19,raw,2.9851965812610124,0.885822200444843,0.21182911373641938,0.10687506149778106
19,min_shift,2.9851965812610124,0.885822200444843,0.21182911373641938,0.10687506149778106
19,row_zscore,2.9851965812610124,0.885822200444843,1.8214596497756474e-17,2.7755575615628914e-17
19,row_mad,2.9851965812610124,0.885822200444843,1.9081958235744878e-17,2.7755575615628914e-17
19,row_rank,2.9851965812610124,0.885822200444843,0.0,0.0
19,global_zscore,2.9851965812610124,0.885822200444843,6.938893903907228e-18,1.3877787807814457e-17
20,raw,2.1916492753452044,2.6582316946481885,0.21695960718866197,0.21695960718866203
20,min_shift,2.1916492753452044,2.6582316946481885,0.21695960718866197,0.21695960718866203
20,row_zscore,2.1916492753452044,2.6582316946481885,3.469446951953614e-17,5.551115123125783e-17
20,row_mad,2.1916492753452044,2.6582316946481885,1.8561541192951836e-16,2.220446049250313e-16
20,row_rank,2.1916492753452044,2.6582316946481885,0.0,0.0
20,global_zscore,2.1916492753452044,2.6582316946481885,9.020562075079397e-17,5.551115123125783e-17
21,raw,2.6549656848702883,2.0817860621730633,0.17938758880900935,0.1643260234692427
21,min_shift,2.6549656848702883,2.0817860621730633,0.17938758880900935,0.1643260234692427
21,row_zscore,2.6549656848702883,2.0817860621730633,4.5102810375396984e-17,5.551115123125783e-17
21,row_mad,2.6549656848702883,2.0817860621730633,2.0816681711721685e-17,4.163336342344337e-17
21,row_rank,2.6549656848702883,2.0817860621730633,0.0,0.0
21,global_zscore,2.6549656848702883,2.0817860621730633,4.163336342344337e-17,5.551115123125783e-17
22,raw,2.188942119247045,2.713802424404598,0.3768195317804723,0.37681953178047234
22,min_shift,2.188942119247045,2.713802424404598,0.3768195317804723,0.37681953178047234
22,row_zscore,2.188942119247045,2.713802424404598,1.1882855810441129e-16,1.1102230246251565e-16
22,row_mad,2.188942119247045,2.713802424404598,9.595189226496714e-17,1.1102230246251565e-16
22,row_rank,2.188942119247045,2.713802424404598,0.0,0.0
22,global_zscore,2.188942119247045,2.713802424404598,5.204170427930421e-17,5.551115123125783e-17
23,raw,2.1698272549835536,2.091830887367828,0.15283535535683918,0.11973857363713114
23,min_shift,2.1698272549835536,2.091830887367828,0.15283535535683918,0.11973857363713114
23,row_zscore,2.1698272549835536,2.091830887367828,7.979727989493313e-17,5.551115123125783e-17
23,row_mad,2.1698272549835536,2.091830887367828,6.418476861114186e-17,1.1102230246251565e-16
23,row_rank,2.1698272549835536,2.091830887367828,0.0,0.0
23,global_zscore,2.1698272549835536,2.091830887367828,8.673617379884035e-17,5.551115123125783e-17
24,raw,1.2556441054914567,-1.6350744474533765,0.060057293664736174,0.04466308618741971
24,min_shift,1.2556441054914567,-1.6350744474533765,0.060057293664736174,0.04466308618741971
24,row_zscore,1.2556441054914567,-1.6350744474533765,8.847089727481716e-17,1.6653345369377348e-16
24,row_mad,1.2556441054914567,-1.6350744474533765,7.806255641895632e-17,1.1102230246251565e-16
24,row_rank,1.2556441054914567,-1.6350744474533765,0.0,0.0
24,global_zscore,1.2556441054914567,-1.6350744474533765,1.1449174941446927e-16,1.1102230246251565e-16
25,raw,2.856014525053776,-2.3069518612763007,0.2291600531379488,0.20727049952448873
25,min_shift,2.856014525053776,-2.3069518612763007,0.2291600531379488,0.20727049952448873
25,row_zscore,2.856014525053776,-2.3069518612763007,3.469446951953614e-18,6.938893903907228e-18
25,row_mad,2.856014525053776,-2.3069518612763007,1.734723475976807e-17,2.7755575615628914e-17
25,row_rank,2.856014525053776,-2.3069518612763007,0.0,0.0
25,global_zscore,2.856014525053776,-2.3069518612763007,7.892991815694472e-17,5.551115123125783e-17
26,raw,2.645604997579094,0.059109114104134886,0.3374168539072684,0.3374168539072684
26,min_shift,2.645604997579094,0.059109114104134886,0.3374168539072684,0.3374168539072684
26,row_zscore,2.645604997579094,0.059109114104134886,0.0,0.0
26,row_mad,2.645604997579094,0.059109114104134886,4.87890977618477e-19,5.421010862427522e-19
26,row_rank,2.645604997579094,0.059109114104134886,0.0,0.0
26,global_zscore,2.645604997579094,0.059109114104134886,8.326672684688674e-17,1.1102230246251565e-16
27,raw,2.163627705077481,1.403212538948729,0.1835748126364813,0.09318265276866125
27,min_shift,2.163627705077481,1.403212538948729,0.1835748126364813,0.09318265276866125
27,row_zscore,2.163627705077481,1.403212538948729,6.505213034913027e-17,2.7755575615628914e-17
27,row_mad,2.163627705077481,1.403212538948729,1.0286368111456223e-16,5.551115123125783e-17
27,row_rank,2.163627705077481,1.403212538948729,0.0,0.0
27,global_zscore,2.163627705077481,1.403212538948729,7.546047120499111e-17,5.551115123125783e-17
28,raw,0.2756345484816199,-1.960330048959262,0.21420053974659836,0.1476737900846364
28,min_shift,0.2756345484816199,-1.960330048959262,0.21420053974659836,0.1476737900846364
28,row_zscore,0.2756345484816199,-1.960330048959262,1.5092094240998222e-16,1.3877787807814457e-16
28,row_mad,0.2756345484816199,-1.960330048959262,2.3592239273284576e-16,2.220446049250313e-16
28,row_rank,0.2756345484816199,-1.960330048959262,0.0,0.0
28,global_zscore,0.2756345484816199,-1.960330048959262,1.1796119636642288e-16,1.1102230246251565e-16
